ST16CH_3R32	B9_L7_R1_001_9VQgv9k311Sq.fastq.gz	B9_L7_R2_001_u8QzW9jHxYez.fastq.gz
ST16CH_1C65	C10_L7_R1_001_QSZS2jVAOLBd.fastq.gz	C10_L7_R2_001_ZEcVSlSmpSxm.fastq.gz
ST16CH_1C52	C12_L7_R1_001_tVlbOdcH5Z0J.fastq.gz	C12_L7_R2_001_wdu7Es4kvrOv.fastq.gz
ST16CH_1E70	C15_L7_R1_001_sBhTPOVpX71u.fastq.gz	C15_L7_R2_001_3PRMtmthyf3n.fastq.gz
ST16CH_3W21	C23_L7_R1_001_kJveDPo73SB2.fastq.gz	C23_L7_R2_001_NXsti2uwc3by.fastq.gz
ST16CH_1D1	C24_L7_R1_001_LjyYBGFCWTNv.fastq.gz	C24_L7_R2_001_9rCqmNVmlv07.fastq.gz
ST16CH_1K29	C4_L7_R1_001_33tdOPGYYd88.fastq.gz	C4_L7_R2_001_9bYIMMJpR6yB.fastq.gz
ST16CH_1K42	C5_L7_R1_001_4X4us3fPrB3R.fastq.gz	C5_L7_R2_001_SpVKCymXV1S4.fastq.gz
ST16CH_1H32	C6_L7_R1_001_2uB0Ke0PO2fz.fastq.gz	C6_L7_R2_001_nkJ4grCnf8dd.fastq.gz
ST16CH_1I3	C7_L7_R1_001_PhQ4u46qA1VZ.fastq.gz	C7_L7_R2_001_JhJw0CuRVEWH.fastq.gz
ST16CH_1D23	N17_L7_R1_001_Yw8AVmZ4rRZv.fastq.gz	N17_L7_R2_001_pqnn7gj9ztrN.fastq.gz
ST16CH_3G34	N18_L7_R1_001_3NNXfbj5GmM6.fastq.gz	N18_L7_R2_001_LWOY7MJRha5l.fastq.gz
ST16CH_3H33	E4_L1_R1_001_nPvnLEjnSgvB.fastq.gz	E4_L1_R2_001_tCl830PRCVsr.fastq.gz
ST16CH_3H33_2	N20_L7_R1_001_Z0zwqr8eAeWz.fastq.gz	N20_L7_R2_001_nTM5cTK5qr8b.fastq.gz
ST16CH_3H43	N21_L7_R1_001_WwgjnA75OAfz.fastq.gz	N21_L7_R2_001_zpPNk0Cdfuv9.fastq.gz
ST16CH_3I14	N23_L7_R1_001_zmvqtf8bRywy.fastq.gz	N23_L7_R2_001_50pGO9c84ONz.fastq.gz
ST16CH_3I23	F23_L1_R1_001_GWBdo4te5J6D.fastq.gz	F23_L1_R2_001_kzW1Nk7az78J.fastq.gz
ST16CH_3I23_2	N24_L7_R1_001_9CpihOymPKe1.fastq.gz	N24_L7_R2_001_cfpUEAaIsRrU.fastq.gz
