ST16CH_1S10	E31_L1_R1_001_IaSyNxtOdb5p.fastq.gz	E31_L1_R2_001_NKt2jexKJqqj.fastq.gz
ST16CH_2U2	E32_L1_R1_001_hHg1H3ftstFX.fastq.gz	E32_L1_R2_001_aERXVRH8Clqd.fastq.gz
ST16CH_1L46	E33_L1_R1_001_Tgrsf0KTH6pW.fastq.gz	E33_L1_R2_001_vN7h0d6RaA63.fastq.gz
ST16CH_1U30	E34_L1_R1_001_BDtpWbX2CiBG.fastq.gz	E34_L1_R2_001_3iudLALGSMXb.fastq.gz
ST16CH_1U6	E35_L1_R1_001_KceRVb5BCRC6.fastq.gz	E35_L1_R2_001_QmNwrTSD1oiA.fastq.gz
ST16CH_1L32	E36_L1_R1_001_6JCIs1RokPmZ.fastq.gz	E36_L1_R2_001_nPuoeAWx8K0N.fastq.gz
ST16CH_2C2	E37_L1_R1_001_1rp6vtQVcMCL.fastq.gz	E37_L1_R2_001_oKbRkVP0uFtl.fastq.gz
ST16CH_3F7	E3_L1_R1_001_wuhMq2TZaU6F.fastq.gz	E3_L1_R2_001_KZLs17JLcduU.fastq.gz
ST16CH_3H33	E4_L1_R1_001_nPvnLEjnSgvB.fastq.gz	E4_L1_R2_001_tCl830PRCVsr.fastq.gz
ST16CH_3W3	E5_L1_R1_001_71slek9r6HZj.fastq.gz	E5_L1_R2_001_WWHYEkefDEWn.fastq.gz
ST16CH_3V30	E6_L1_R1_001_03QFhq9vbetk.fastq.gz	E6_L1_R2_001_trZzCAVCRUCW.fastq.gz
ST16CH_1C31	E7_L1_R1_001_n3yrLH7ZdROE.fastq.gz	E7_L1_R2_001_TsqdpGj2PLVa.fastq.gz
ST16CH_1F11	E8_L1_R1_001_4B5BpJzwkFPi.fastq.gz	E8_L1_R2_001_CaknjzL8eTbQ.fastq.gz
ST16CH_1F19	E9_L1_R1_001_lQJydCo6Vckq.fastq.gz	E9_L1_R2_001_HlQTJbSZUqij.fastq.gz
ST16CH_1N6	F10_L1_R1_001_toq61hihzqky.fastq.gz	F10_L1_R2_001_dUzW9dwC09YJ.fastq.gz
ST16CH_1O40	F11_L1_R1_001_LUAnQI7JyNqf.fastq.gz	F11_L1_R2_001_PE6VnzVVBvfA.fastq.gz
ST16CH_1X7	F12_L1_R1_001_MgliMXHx6p9H.fastq.gz	F12_L1_R2_001_5c4FiCED6WBV.fastq.gz
ST16CH_2C7	F13_L1_R1_001_3NfL84KKSfmp.fastq.gz	F13_L1_R2_001_LlOJJe3bkrWG.fastq.gz
ST16CH_2U7	F14_L1_R1_001_uhZZeQmcD4VP.fastq.gz	F14_L1_R2_001_fEjeWp7nKyt9.fastq.gz
ST16CH_1P7	F15_L1_R1_001_bGVrEKJe4pig.fastq.gz	F15_L1_R2_001_TPOVp1ByUNxT.fastq.gz
ST16CH_2U14	F16_L1_R1_001_h55IY0921quh.fastq.gz	F16_L1_R2_001_KDS9isn0X87V.fastq.gz
ST16CH_2U24	F17_L1_R1_001_IWDBSrQTPTUb.fastq.gz	F17_L1_R2_001_r9HwzONSEdce.fastq.gz
ST16CH_3A16	F18_L1_R1_001_Z1bqZPwe1fZa.fastq.gz	F18_L1_R2_001_1gFWEltl22xx.fastq.gz
ST16CH_3A31	F19_L1_R1_001_bJgWAmLkvdOa.fastq.gz	F19_L1_R2_001_SFIIUZqScJyf.fastq.gz
ST16CH_1O65	F1_L1_R1_001_6jUOGLmJiwhg.fastq.gz	F1_L1_R2_001_HMsFQjsuvqh6.fastq.gz
CH16_3C8	F20_L1_R1_001_4TIRcEjnAbiU.fastq.gz	F20_L1_R2_001_H9wteYUMahCf.fastq.gz
ST16CH_3C81	F20_L1_R1_001_4TIRcEjnAbiU.fastq.gz	F20_L1_R2_001_H9wteYUMahCf.fastq.gz
ST16CH_3C6	F21_L1_R1_001_8t4sjG6fkKIp.fastq.gz	F21_L1_R2_001_V6Jtr5xOP3eF.fastq.gz
ST16CH_3B19	F22_L1_R1_001_ocNovWzI4hwb.fastq.gz	F22_L1_R2_001_RH1uZ09vh8kO.fastq.gz
ST16CH_3I23	F23_L1_R1_001_GWBdo4te5J6D.fastq.gz	F23_L1_R2_001_kzW1Nk7az78J.fastq.gz
ST16CH_3B8	F24_L1_R1_001_iU8Fem3pxeMJ.fastq.gz	F24_L1_R2_001_aoPHfdCEJk8H.fastq.gz
ST16CH_3S1	F25_L1_R1_001_ywQNr6ZcXvS0.fastq.gz	F25_L1_R2_001_Nnm0E1wcstjO.fastq.gz
ST16CH_3S9	F26_L1_R1_001_CFjmsic2WBoT.fastq.gz	F26_L1_R2_001_eN6Xjj9z6Iak.fastq.gz
ST16CH_3T5	F27_L1_R1_001_X2e9GHds93yf.fastq.gz	F27_L1_R2_001_HEYx0duRHHQn.fastq.gz
ST16CH_1K16	F28_L1_R1_001_tVGsb3sEVVO0.fastq.gz	F28_L1_R2_001_Qg1xyR09utBD.fastq.gz
ST16CH_3M24	F29_L1_R1_001_BSrpOaL7ZPTa.fastq.gz	F29_L1_R2_001_TuDVB3QgBNqt.fastq.gz
ST16CH_1O25	F2_L1_R1_001_W4TCcKlHtZK8.fastq.gz	F2_L1_R2_001_hLSVxlnTYZnY.fastq.gz
ST16CH_1D8	D2_L1_R1_001_iTV2ZLQMnMgS.fastq.gz	D2_L1_R2_001_gLUMIZOjYeTQ.fastq.gz
