2-1437433-SCA3251A88	09STE001
2-1441118-SCA3251A96	09STE002
2-1441211-SCA3251A27	09STF004
2-1441219-SCA3251A35	09STF005
2-1441227-SCA3251A43	09STF007
2-1437346-SCA3251A51	09STF011
2-1437404-SCA3251A59	09STF013
2-1441301-SCA3251A67	09STF014
2-1441026-SCA3251A75	09STF015
2-1441317-SCA3251A83	09STF019
2-1441108-SCA3251A91	09STF024
2-1441138-SCA3251A4	09STF025
2-1440750-SCA3251A12	09STF027
2-1437315-SCA3251A20	09STF028
2-1441212-SCA3251A28	09STF029
2-1441220-SCA3251A36	09STF031
2-1441228-SCA3251A44	09STF032
2-1437347-SCA3251A52	09STF036
2-1437405-SCA3251A60	09STF037
2-1441302-SCA3251A68	09STF045
2-1437312-SCA3251A17	09STF046
2-1441028-SCA3251A76	09STF048
2-1441318-SCA3251A84	09STF054
2-1441110-SCA3251A92	09STF056
2-1437250-SCA3251A5	09STF058
2-1441147-SCA3251A13	09STF063
2-1437316-SCA3251A21	09STF068
2-1441213-SCA3251A29	09STF077
2-1441221-SCA3251A37	09STF079
2-1441229-SCA3251A45	09STF081
2-1441237-SCA3251A53	09STF082
2-1437406-SCA3251A61	09STF094
2-1441303-SCA3251A69	09STF096
2-1441311-SCA3251A77	09STF097
2-1441319-SCA3251A85	09STF098
2-1437438-SCA3251A93	09STF099
2-1441140-SCA3251A6	09STF103
2-1441148-SCA3251A14	09STF105
2-1440820-SCA3251A22	09STF106
2-1441214-SCA3251A30	09STF109
2-1440902-SCA3251A38	09STF112
2-1437341-SCA3251A46	09STF114
2-1437409-SCA3251A64	09STGB001
2-1441306-SCA3251A72	09STGB002
2-1441036-SCA3251A80	09STGB004
2-1440934-SCA3251A54	09STIR003_1
2-1440950-SCA3251A62	09STIR004_2
2-1437415-SCA3251A70	09STIR005_2
2-1441312-SCA3251A78	09STIR007_3
2-1437431-SCA3251A86	09STIR009_5
2-1441114-SCA3251A94	09STIR010_4
2-1441141-SCA3251A7	09STIR012_3
2-1437310-SCA3251A15	09STIR013_1
2-1437318-SCA3251A23	09STIR014_1
2-1441215-SCA3251A31	09STIR015_1
2-1441223-SCA3251A39	09STIR016_3
2-1437342-SCA3251A47	09STIR017_5
2-1441239-SCA3251A55	09STIR018_1
2-1437408-SCA3251A63	09STIR019_4
2-1441305-SCA3251A71	09STIR020_1
2-1441313-SCA3251A79	09STIR020_3
2-1441050-SCA3251A87	09STIR021_2
2-1437440-SCA3251A95	09STIR022_1
2-1441142-SCA3251A8	09STIR022_4
2-1441150-SCA3251A16	09STIR023_3
2-1437319-SCA3251A24	09STIR024_2
2-1441216-SCA3251A32	09STIR026_2
2-1440906-SCA3251A40	09STIR026_4
2-1440922-SCA3251A48	09STIR026_5
2-1437401-SCA3251A56	09STIR027_3
